Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked,Class,who,adult_male,Cabin,embark_town,alive,alone
1,3,male,29.9,0,0,7.23,C,Third,man,True,Unknown,Cherbourg,yes,True
0,3,male,21.0,0,0,8.05,S,Third,man,True,Unknown,Southampton,no,True
0,3,female,18.0,2,0,18.0,S,Third,woman,False,Unknown,Southampton,no,False
1,3,female,14.0,1,0,11.24,C,Third,child,False,Unknown,Cherbourg,yes,False
0,3,female,40.0,1,0,9.48,S,Third,woman,False,Unknown,Southampton,no,False
0,2,female,27.0,1,0,21.0,S,Second,woman,False,Unknown,Southampton,no,False
0,3,male,29.9,0,0,7.9,C,Third,man,True,Unknown,Cherbourg,no,True
1,2,female,3.0,1,2,41.58,C,Second,child,False,Unknown,Cherbourg,yes,False
1,3,female,19.0,0,0,7.88,Q,Third,woman,False,Unknown,Queenstown,yes,True
0,3,male,29.9,0,0,8.05,S,Third,man,True,Unknown,Southampton,no,True
0,3,male,29.9,1,0,15.5,Q,Third,man,True,Unknown,Queenstown,no,False
0,3,male,29.9,2,0,21.68,C,Third,man,True,Unknown,Cherbourg,no,False
0,3,female,18.0,1,0,17.8,S,Third,woman,False,Unknown,Southampton,no,False
0,3,male,7.0,4,1,39.69,S,Third,child,False,Unknown,Southampton,no,False
0,3,male,21.0,0,0,7.8,S,Third,man,True,Unknown,Southampton,no,True
1,1,female,49.0,1,0,76.73,C,First,woman,False,D,Cherbourg,yes,False
1,2,female,29.0,1,0,26.0,S,Second,woman,False,Unknown,Southampton,yes,False
0,1,male,65.0,0,1,61.98,C,First,man,True,B,Cherbourg,no,False
1,1,male,29.9,0,0,35.5,S,First,man,True,C,Southampton,yes,True
1,2,female,21.0,0,0,10.5,S,Second,woman,False,Unknown,Southampton,yes,True
0,3,male,28.5,0,0,7.23,C,Third,man,True,Unknown,Cherbourg,no,True
1,2,female,5.0,1,2,27.75,S,Second,child,False,Unknown,Southampton,yes,False
0,3,male,11.0,5,2,46.9,S,Third,child,False,Unknown,Southampton,no,False
0,3,male,22.0,0,0,7.23,C,Third,man,True,Unknown,Cherbourg,no,True
1,1,female,38.0,0,0,80.0,S,First,woman,False,B,,yes,True
0,1,male,45.0,1,0,83.48,S,First,man,True,C,Southampton,no,False
0,3,male,4.0,3,2,27.9,S,Third,child,False,Unknown,Southampton,no,False
0,1,male,29.9,0,0,27.72,C,First,man,True,Unknown,Cherbourg,no,True
1,3,male,29.9,1,1,15.25,C,Third,man,True,Unknown,Cherbourg,yes,False
1,2,female,29.0,0,0,10.5,S,Second,woman,False,F,Southampton,yes,True
0,3,male,19.0,0,0,8.16,S,Third,man,True,Unknown,Southampton,no,True
1,3,female,17.0,4,2,7.92,S,Third,woman,False,Unknown,Southampton,yes,False
0,3,male,26.0,2,0,8.66,S,Third,man,True,Unknown,Southampton,no,False
0,2,male,32.0,0,0,10.5,S,Second,man,True,Unknown,Southampton,no,True
0,3,female,16.0,5,2,46.9,S,Third,woman,False,Unknown,Southampton,no,False
0,2,male,21.0,0,0,73.5,S,Second,man,True,Unknown,Southampton,no,True
0,3,male,26.0,1,0,14.45,C,Third,man,True,Unknown,Cherbourg,no,False
1,3,male,32.0,0,0,56.5,S,Third,man,True,Unknown,Southampton,yes,True
0,3,male,25.0,0,0,7.65,S,Third,man,True,F,Southampton,no,True
1,2,male,0.8,0,2,29.0,S,Second,child,False,Unknown,Southampton,yes,False
1,3,female,30.0,0,0,12.48,S,Third,woman,False,Unknown,Southampton,yes,True
0,3,male,22.0,0,0,9.0,S,Third,man,True,Unknown,Southampton,no,True
1,3,male,29.0,0,0,9.5,S,Third,man,True,Unknown,Southampton,yes,True
1,3,female,29.9,0,0,7.79,Q,Third,woman,False,Unknown,Queenstown,yes,True
0,1,male,28.0,0,0,47.1,S,First,man,True,Unknown,Southampton,no,True
1,2,female,17.0,0,0,10.5,S,Second,woman,False,Unknown,Southampton,yes,True
1,3,female,33.0,3,0,15.85,S,Third,woman,False,Unknown,Southampton,yes,False
0,3,male,16.0,1,3,34.38,S,Third,man,True,Unknown,Southampton,no,False
1,1,female,23.0,3,2,263.0,S,First,woman,False,C,Southampton,yes,False
0,3,male,24.0,0,0,8.05,S,Third,man,True,Unknown,Southampton,no,True
0,3,male,29.0,0,0,8.05,S,Third,man,True,Unknown,Southampton,no,True
0,3,male,20.0,0,0,7.85,S,Third,man,True,Unknown,Southampton,no,True
0,1,male,46.0,1,0,61.18,S,First,man,True,E,Southampton,no,False
0,3,male,26.0,1,2,20.58,S,Third,man,True,Unknown,Southampton,no,False
0,3,male,59.0,0,0,7.25,S,Third,man,True,Unknown,Southampton,no,True
0,1,male,71.0,0,0,34.65,C,First,man,True,A,Cherbourg,no,True
1,1,male,23.0,0,1,63.36,C,First,man,True,D,Cherbourg,yes,False
1,2,female,34.0,0,1,23.0,S,Second,woman,False,Unknown,Southampton,yes,False
0,2,male,34.0,1,0,26.0,S,Second,man,True,Unknown,Southampton,no,False
0,3,female,28.0,0,0,7.9,S,Third,woman,False,Unknown,Southampton,no,True
0,1,male,21.0,0,1,77.29,S,First,man,True,D,Southampton,no,False
0,3,male,33.0,0,0,8.65,S,Third,man,True,Unknown,Southampton,no,True
0,3,male,37.0,2,0,7.92,S,Third,man,True,Unknown,Southampton,no,False
0,3,male,28.0,0,0,7.9,S,Third,man,True,Unknown,Southampton,no,True
1,3,female,21.0,0,0,7.65,S,Third,woman,False,Unknown,Southampton,yes,True
1,3,male,29.9,0,0,7.78,S,Third,man,True,Unknown,Southampton,yes,True
0,3,male,38.0,0,0,7.9,S,Third,man,True,Unknown,Southampton,no,True
1,3,female,29.9,1,0,24.15,Q,Third,woman,False,Unknown,Queenstown,yes,False
0,1,male,47.0,0,0,52.0,S,First,man,True,C,Southampton,no,True
0,3,female,14.5,1,0,14.45,C,Third,child,False,Unknown,Cherbourg,no,False
0,3,male,22.0,0,0,8.05,S,Third,man,True,Unknown,Southampton,no,True
0,3,female,20.0,1,0,9.82,S,Third,woman,False,Unknown,Southampton,no,False
0,3,female,17.0,0,0,14.46,C,Third,woman,False,Unknown,Cherbourg,no,True
0,3,male,21.0,0,0,7.92,S,Third,man,True,Unknown,Southampton,no,True
0,3,male,70.5,0,0,7.75,Q,Third,man,True,Unknown,Queenstown,no,True
0,2,male,29.0,1,0,21.0,S,Second,man,True,Unknown,Southampton,no,False
0,1,male,24.0,0,1,247.52,C,First,man,True,B,Cherbourg,no,False
0,3,female,2.0,4,2,31.28,S,Third,child,False,Unknown,Southampton,no,False
0,2,male,21.0,2,0,73.5,S,Second,man,True,Unknown,Southampton,no,False
0,2,male,32.5,1,0,30.07,C,Second,man,True,Unknown,Cherbourg,no,False
1,2,female,32.5,0,0,13.0,S,Second,woman,False,E,Southampton,yes,True
0,1,male,54.0,0,1,77.29,S,First,man,True,D,Southampton,no,False
1,3,male,12.0,1,0,11.24,C,Third,child,False,Unknown,Cherbourg,yes,False
0,3,male,29.9,0,0,7.75,Q,Third,man,True,Unknown,Queenstown,no,True
1,3,male,24.0,0,0,7.14,S,Third,man,True,Unknown,Southampton,yes,True
1,3,female,29.9,1,1,22.36,C,Third,woman,False,F,Cherbourg,yes,False
0,3,male,45.0,0,0,6.98,S,Third,man,True,Unknown,Southampton,no,True
0,3,male,33.0,0,0,7.9,C,Third,man,True,Unknown,Cherbourg,no,True
0,3,male,20.0,0,0,7.05,S,Third,man,True,Unknown,Southampton,no,True
0,3,female,47.0,1,0,14.5,S,Third,woman,False,Unknown,Southampton,no,False
0,2,male,25.0,0,0,13.0,S,Second,man,True,Unknown,Southampton,no,True
0,2,male,23.0,0,0,15.05,C,Second,man,True,Unknown,Cherbourg,no,True
1,1,female,19.0,0,2,26.28,S,First,woman,False,D,Southampton,yes,False
0,1,male,37.0,1,0,53.1,S,First,man,True,C,Southampton,no,False
0,3,male,16.0,0,0,9.22,S,Third,man,True,Unknown,Southampton,no,True
0,1,male,24.0,0,0,79.2,C,First,man,True,B,Cherbourg,no,True
0,3,female,29.9,0,2,15.25,C,Third,woman,False,Unknown,Cherbourg,no,False
1,3,female,22.0,0,0,7.75,S,Third,woman,False,Unknown,Southampton,yes,True
1,3,female,24.0,1,0,15.85,S,Third,woman,False,Unknown,Southampton,yes,False
0,3,male,19.0,0,0,6.75,Q,Third,man,True,Unknown,Queenstown,no,True
0,2,male,18.0,0,0,11.5,S,Second,man,True,Unknown,Southampton,no,True
0,2,male,19.0,1,1,36.75,S,Second,man,True,Unknown,Southampton,no,False
1,3,male,27.0,0,0,7.8,S,Third,man,True,Unknown,Southampton,yes,True
0,3,female,9.0,2,2,34.38,S,Third,child,False,Unknown,Southampton,no,False
0,2,male,36.5,0,2,26.0,S,Second,man,True,F,Southampton,no,False
0,2,male,42.0,0,0,13.0,S,Second,man,True,Unknown,Southampton,no,True
0,2,male,51.0,0,0,12.52,S,Second,man,True,Unknown,Southampton,no,True
1,1,female,22.0,1,0,66.6,S,First,woman,False,C,Southampton,yes,False
0,3,male,55.5,0,0,8.05,S,Third,man,True,Unknown,Southampton,no,True
0,3,male,40.5,0,2,14.5,S,Third,man,True,Unknown,Southampton,no,False
0,3,male,29.9,0,0,7.31,S,Third,man,True,Unknown,Southampton,no,True
0,1,male,51.0,0,1,61.38,C,First,man,True,Unknown,Cherbourg,no,False
1,3,female,16.0,0,0,7.73,Q,Third,woman,False,Unknown,Queenstown,yes,True
0,3,male,30.0,0,0,8.05,S,Third,man,True,Unknown,Southampton,no,True
0,3,male,29.9,0,0,8.66,S,Third,man,True,Unknown,Southampton,no,True
0,3,male,29.9,8,2,69.55,S,Third,man,True,Unknown,Southampton,no,False
0,3,male,44.0,0,1,16.1,S,Third,man,True,Unknown,Southampton,no,False
1,2,female,40.0,0,0,15.75,S,Second,woman,False,Unknown,Southampton,yes,True
0,3,male,26.0,0,0,7.78,S,Third,man,True,Unknown,Southampton,no,True
0,3,male,17.0,0,0,8.66,S,Third,man,True,Unknown,Southampton,no,True
0,3,male,1.0,4,1,39.69,S,Third,child,False,Unknown,Southampton,no,False
1,3,male,9.0,0,2,20.52,S,Third,child,False,Unknown,Southampton,yes,False
1,1,female,29.9,0,1,55.0,S,First,woman,False,E,Southampton,yes,False
0,3,female,45.0,1,4,27.9,S,Third,woman,False,Unknown,Southampton,no,False
0,1,male,29.9,0,0,25.92,S,First,man,True,Unknown,Southampton,no,True
0,3,male,28.0,0,0,56.5,S,Third,man,True,Unknown,Southampton,no,True
0,1,male,61.0,0,0,33.5,S,First,man,True,B,Southampton,no,True
0,3,male,4.0,4,1,29.12,Q,Third,child,False,Unknown,Queenstown,no,False
1,3,female,1.0,1,1,11.13,S,Third,child,False,Unknown,Southampton,yes,False
0,1,male,56.0,0,0,30.7,C,First,man,True,A,Cherbourg,no,True
0,3,male,18.0,1,1,7.85,S,Third,man,True,Unknown,Southampton,no,False
0,3,male,29.9,3,1,25.47,S,Third,man,True,Unknown,Southampton,no,False
0,1,female,50.0,0,0,28.71,C,First,woman,False,C,Cherbourg,no,True
0,2,male,30.0,0,0,13.0,S,Second,man,True,Unknown,Southampton,no,True
0,3,male,36.0,0,0,0.0,S,Third,man,True,Unknown,Southampton,no,True
0,3,female,29.9,8,2,69.55,S,Third,woman,False,Unknown,Southampton,no,False
0,2,male,29.9,0,0,15.05,C,Second,man,True,Unknown,Cherbourg,no,True
0,3,male,9.0,4,2,31.39,S,Third,child,False,Unknown,Southampton,no,False
1,2,male,1.0,2,1,39.0,S,Second,child,False,F,Southampton,yes,False
1,3,female,4.0,0,2,22.02,S,Third,child,False,Unknown,Southampton,yes,False
0,1,male,29.9,0,0,50.0,S,First,man,True,A,Southampton,no,True
1,3,female,29.9,1,0,15.5,Q,Third,woman,False,Unknown,Queenstown,yes,False
1,1,male,45.0,0,0,26.55,S,First,man,True,Unknown,Southampton,yes,True
0,3,male,40.0,1,1,15.5,Q,Third,man,True,Unknown,Queenstown,no,False
0,3,male,36.0,0,0,7.9,S,Third,man,True,Unknown,Southampton,no,True
1,2,female,32.0,0,0,13.0,S,Second,woman,False,Unknown,Southampton,yes,True
0,2,male,19.0,0,0,13.0,S,Second,man,True,Unknown,Southampton,no,True
1,3,female,19.0,1,0,7.85,S,Third,woman,False,Unknown,Southampton,yes,False
1,2,male,3.0,1,1,26.0,S,Second,child,False,F,Southampton,yes,False
1,1,female,44.0,0,0,27.72,C,First,woman,False,B,Cherbourg,yes,True
1,1,female,58.0,0,0,146.52,C,First,woman,False,B,Cherbourg,yes,True
0,3,male,42.0,0,1,8.4,S,Third,man,True,Unknown,Southampton,no,False
0,2,female,24.0,0,0,13.0,S,Second,woman,False,Unknown,Southampton,no,True
0,3,male,28.0,0,0,9.5,S,Third,man,True,Unknown,Southampton,no,True
0,3,male,34.0,0,0,6.5,S,Third,man,True,Unknown,Southampton,no,True
0,3,male,45.5,0,0,7.22,C,Third,man,True,Unknown,Cherbourg,no,True
1,3,male,18.0,0,0,8.05,S,Third,man,True,Unknown,Southampton,yes,True
0,3,female,2.0,0,1,10.46,S,Third,child,False,G,Southampton,no,False
0,3,male,32.0,1,0,15.85,S,Third,man,True,Unknown,Southampton,no,False
1,3,male,26.0,0,0,18.79,C,Third,man,True,Unknown,Cherbourg,yes,True
1,3,female,16.0,0,0,7.75,Q,Third,woman,False,Unknown,Queenstown,yes,True
1,1,male,40.0,0,0,31.0,C,First,man,True,A,Cherbourg,yes,True
0,3,male,24.0,0,0,7.05,S,Third,man,True,Unknown,Southampton,no,True
1,2,female,35.0,0,0,21.0,S,Second,woman,False,Unknown,Southampton,yes,True
0,3,male,22.0,0,0,7.25,S,Third,man,True,Unknown,Southampton,no,True
0,3,male,29.9,1,0,7.75,Q,Third,man,True,Unknown,Queenstown,no,False
1,1,female,31.0,1,0,113.28,C,First,woman,False,D,Cherbourg,yes,False
1,3,female,27.0,0,0,7.92,S,Third,woman,False,Unknown,Southampton,yes,True
0,2,male,42.0,1,0,27.0,S,Second,man,True,Unknown,Southampton,no,False
1,1,female,32.0,0,0,76.29,C,First,woman,False,D,Cherbourg,yes,True
0,2,male,30.0,0,0,10.5,S,Second,man,True,Unknown,Southampton,no,True
1,3,male,16.0,0,0,8.05,S,Third,man,True,Unknown,Southampton,yes,True
0,2,male,27.0,0,0,13.0,S,Second,man,True,Unknown,Southampton,no,True
0,3,male,51.0,0,0,8.05,S,Third,man,True,Unknown,Southampton,no,True
1,1,male,38.0,1,0,90.0,S,First,man,True,C,Southampton,yes,False
0,3,male,22.0,0,0,9.35,S,Third,man,True,Unknown,Southampton,no,True
1,2,male,19.0,0,0,10.5,S,Second,man,True,Unknown,Southampton,yes,True
0,3,male,20.5,0,0,7.25,S,Third,man,True,Unknown,Southampton,no,True
0,2,male,18.0,0,0,13.0,S,Second,man,True,Unknown,Southampton,no,True
0,3,female,29.9,3,1,25.47,S,Third,woman,False,Unknown,Southampton,no,False
1,1,female,35.0,1,0,83.48,S,First,woman,False,C,Southampton,yes,False
0,3,male,29.0,0,0,7.78,S,Third,man,True,Unknown,Southampton,no,True
0,2,male,59.0,0,0,13.5,S,Second,man,True,Unknown,Southampton,no,True
1,3,female,5.0,4,2,31.39,S,Third,child,False,Unknown,Southampton,yes,False
0,2,male,24.0,0,0,10.5,S,Second,man,True,Unknown,Southampton,no,True
0,3,female,29.9,0,0,7.55,S,Third,woman,False,Unknown,Southampton,no,True
0,2,male,44.0,1,0,26.0,S,Second,man,True,Unknown,Southampton,no,False
1,2,female,8.0,0,2,26.25,S,Second,child,False,Unknown,Southampton,yes,False
0,2,male,19.0,0,0,10.5,S,Second,man,True,Unknown,Southampton,no,True
0,2,male,33.0,0,0,12.28,S,Second,man,True,Unknown,Southampton,no,True
0,3,female,29.9,1,0,14.45,C,Third,woman,False,Unknown,Cherbourg,no,False
0,2,male,29.0,0,0,10.5,S,Second,man,True,Unknown,Southampton,no,True
0,3,male,22.0,0,0,7.12,S,Third,man,True,Unknown,Southampton,no,True
0,3,male,30.0,0,0,7.22,C,Third,man,True,Unknown,Cherbourg,no,True
0,1,male,44.0,2,0,90.0,Q,First,man,True,C,Queenstown,no,False
0,3,female,25.0,0,0,7.78,S,Third,woman,False,Unknown,Southampton,no,True
1,2,female,24.0,0,2,14.5,S,Second,woman,False,Unknown,Southampton,yes,False
1,1,male,37.0,1,1,52.55,S,First,man,True,D,Southampton,yes,False
0,2,male,54.0,1,0,26.0,S,Second,man,True,Unknown,Southampton,no,False
0,3,male,29.9,0,0,7.25,S,Third,man,True,Unknown,Southampton,no,True
0,3,female,29.0,1,1,10.46,S,Third,woman,False,G,Southampton,no,False
0,1,male,62.0,0,0,26.55,S,First,man,True,C,Southampton,no,True
0,3,male,30.0,1,0,16.1,S,Third,man,True,Unknown,Southampton,no,False
0,3,female,41.0,0,2,20.21,S,Third,woman,False,Unknown,Southampton,no,False
1,3,female,29.0,0,2,15.25,C,Third,woman,False,Unknown,Cherbourg,yes,False
1,1,female,29.9,0,0,79.2,C,First,woman,False,Unknown,Cherbourg,yes,True
1,1,female,30.0,0,0,86.5,S,First,woman,False,B,Southampton,yes,True
1,1,female,35.0,0,0,512.33,C,First,woman,False,Unknown,Cherbourg,yes,True
1,2,female,50.0,0,1,26.0,S,Second,woman,False,Unknown,Southampton,yes,False
1,3,male,3.0,4,2,31.39,S,Third,child,False,Unknown,Southampton,yes,False
0,1,male,52.0,1,1,79.65,S,First,man,True,E,Southampton,no,False
0,1,male,40.0,0,0,0.0,S,First,man,True,B,Southampton,no,True
0,3,female,29.9,0,0,7.75,Q,Third,woman,False,Unknown,Queenstown,no,True
0,2,male,36.0,0,0,10.5,S,Second,man,True,Unknown,Southampton,no,True
0,3,male,16.0,4,1,39.69,S,Third,man,True,Unknown,Southampton,no,False
1,3,male,25.0,1,0,7.78,S,Third,man,True,Unknown,Southampton,yes,False
1,1,female,58.0,0,1,153.46,S,First,woman,False,C,Southampton,yes,False
1,1,female,35.0,0,0,135.63,S,First,woman,False,C,Southampton,yes,True
0,1,male,29.9,0,0,31.0,S,First,man,True,Unknown,Southampton,no,True
1,3,male,25.0,0,0,0.0,S,Third,man,True,Unknown,Southampton,yes,True
1,2,female,41.0,0,1,19.5,S,Second,woman,False,Unknown,Southampton,yes,False
0,1,male,37.0,0,1,29.7,C,First,man,True,C,Cherbourg,no,False
1,1,female,63.0,1,0,77.96,S,First,woman,False,D,Southampton,yes,False
0,3,female,45.0,0,0,7.75,S,Third,woman,False,Unknown,Southampton,no,True
0,2,male,29.9,0,0,0.0,S,Second,man,True,Unknown,Southampton,no,True
0,3,male,7.0,4,1,29.12,Q,Third,child,False,Unknown,Queenstown,no,False
1,3,female,35.0,1,1,20.25,S,Third,woman,False,Unknown,Southampton,yes,False
0,3,male,65.0,0,0,7.75,Q,Third,man,True,Unknown,Queenstown,no,True
0,3,male,28.0,0,0,7.85,S,Third,man,True,Unknown,Southampton,no,True
0,3,male,16.0,0,0,9.5,S,Third,man,True,Unknown,Southampton,no,True
1,3,male,19.0,0,0,8.05,S,Third,man,True,Unknown,Southampton,yes,True
0,1,male,29.9,0,0,26.0,S,First,man,True,A,Southampton,no,True
0,3,male,33.0,0,0,8.66,C,Third,man,True,Unknown,Cherbourg,no,True
1,3,male,30.0,0,0,9.5,S,Third,man,True,Unknown,Southampton,yes,True
0,3,male,22.0,0,0,7.9,S,Third,man,True,Unknown,Southampton,no,True
1,2,male,42.0,0,0,13.0,S,Second,man,True,Unknown,Southampton,yes,True
1,3,female,22.0,0,0,7.75,Q,Third,woman,False,Unknown,Queenstown,yes,True
1,1,female,26.0,0,0,78.85,S,First,woman,False,Unknown,Southampton,yes,True
1,1,female,19.0,1,0,91.08,C,First,woman,False,B,Cherbourg,yes,False
0,2,male,36.0,0,0,12.88,C,Second,man,True,D,Cherbourg,no,True
0,3,female,24.0,0,0,8.85,S,Third,woman,False,Unknown,Southampton,no,True
0,3,male,24.0,0,0,7.9,S,Third,man,True,Unknown,Southampton,no,True
0,3,male,23.5,0,0,7.23,C,Third,man,True,Unknown,Cherbourg,no,True
0,1,female,2.0,1,2,151.55,S,First,child,False,C,Southampton,no,False
1,1,male,29.9,0,0,30.5,S,First,man,True,C,Southampton,yes,True
1,1,female,50.0,0,1,247.52,C,First,woman,False,B,Cherbourg,yes,False
1,3,male,29.9,2,0,23.25,Q,Third,man,True,Unknown,Queenstown,yes,False
0,3,male,19.0,0,0,0.0,S,Third,man,True,Unknown,Southampton,no,True
1,2,female,29.9,0,0,12.35,Q,Second,woman,False,E,Queenstown,yes,True
1,1,male,0.9,1,2,151.55,S,First,child,False,C,Southampton,yes,False
1,1,female,29.9,0,0,110.88,C,First,woman,False,Unknown,Cherbourg,yes,True
1,1,female,17.0,1,0,108.9,C,First,woman,False,C,Cherbourg,yes,False
0,2,male,30.0,1,0,24.0,C,Second,man,True,Unknown,Cherbourg,no,False
1,1,female,30.0,0,0,56.93,C,First,woman,False,E,Cherbourg,yes,True
1,1,female,24.0,0,0,83.16,C,First,woman,False,C,Cherbourg,yes,True
1,1,female,18.0,2,2,262.38,C,First,woman,False,B,Cherbourg,yes,False
0,2,female,26.0,1,1,26.0,S,Second,woman,False,Unknown,Southampton,no,False
0,2,male,43.0,1,1,26.25,S,Second,man,True,Unknown,Southampton,no,False
1,3,female,26.0,0,0,7.85,S,Third,woman,False,Unknown,Southampton,yes,True
1,2,female,24.0,1,0,26.0,S,Second,woman,False,Unknown,Southampton,yes,False
0,2,male,54.0,0,0,14.0,S,Second,man,True,Unknown,Southampton,no,True
1,1,female,31.0,0,2,164.87,S,First,woman,False,C,Southampton,yes,False
1,1,female,40.0,1,1,134.5,C,First,woman,False,E,Cherbourg,yes,False
0,3,male,27.0,0,0,7.9,S,Third,man,True,Unknown,Southampton,no,True
1,2,female,30.0,0,0,12.35,Q,Second,woman,False,Unknown,Queenstown,yes,True
1,2,female,22.0,1,1,29.0,S,Second,woman,False,Unknown,Southampton,yes,False
1,1,female,36.0,0,0,135.63,C,First,woman,False,C,Cherbourg,yes,True
0,3,male,61.0,0,0,6.24,S,Third,man,True,Unknown,Southampton,no,True
1,2,female,36.0,0,0,13.0,S,Second,woman,False,D,Southampton,yes,True
1,3,female,31.0,1,1,20.52,S,Third,woman,False,Unknown,Southampton,yes,False
1,1,female,16.0,0,1,57.98,C,First,woman,False,B,Cherbourg,yes,False
1,3,female,29.9,2,0,23.25,Q,Third,woman,False,Unknown,Queenstown,yes,False
0,1,male,45.5,0,0,28.5,S,First,man,True,C,Southampton,no,True
0,1,male,38.0,0,1,153.46,S,First,man,True,C,Southampton,no,False
0,3,male,16.0,2,0,18.0,S,Third,man,True,Unknown,Southampton,no,False
1,1,female,29.9,1,0,133.65,S,First,woman,False,Unknown,Southampton,yes,False
0,1,male,29.0,1,0,66.6,S,First,man,True,C,Southampton,no,False
1,1,female,41.0,0,0,134.5,C,First,woman,False,E,Cherbourg,yes,True
1,3,male,45.0,0,0,8.05,S,Third,man,True,Unknown,Southampton,yes,True
0,1,male,45.0,0,0,35.5,S,First,man,True,Unknown,Southampton,no,True
1,2,male,2.0,1,1,26.0,S,Second,child,False,F,Southampton,yes,False
1,1,female,24.0,3,2,263.0,S,First,woman,False,C,Southampton,yes,False
0,2,male,28.0,0,0,13.0,S,Second,man,True,Unknown,Southampton,no,True
0,2,male,36.0,0,0,13.0,S,Second,man,True,Unknown,Southampton,no,True
1,2,female,24.0,0,0,13.0,S,Second,woman,False,F,Southampton,yes,True
1,2,female,40.0,0,0,13.0,S,Second,woman,False,Unknown,Southampton,yes,True
1,3,female,29.9,1,0,16.1,S,Third,woman,False,Unknown,Southampton,yes,False
1,3,male,3.0,1,1,15.9,S,Third,child,False,Unknown,Southampton,yes,False
0,3,male,42.0,0,0,8.66,S,Third,man,True,Unknown,Southampton,no,True
0,3,male,23.0,0,0,9.22,S,Third,man,True,Unknown,Southampton,no,True
0,1,male,29.9,0,0,35.0,S,First,man,True,C,Southampton,no,True
0,3,male,15.0,1,1,7.23,C,Third,child,False,Unknown,Cherbourg,no,False
0,3,male,25.0,1,0,17.8,S,Third,man,True,Unknown,Southampton,no,False
1,1,female,22.0,0,1,55.0,S,First,woman,False,E,Southampton,yes,False
0,2,female,38.0,0,0,13.0,S,Second,woman,False,Unknown,Southampton,no,True
0,3,male,40.0,1,4,27.9,S,Third,man,True,Unknown,Southampton,no,False
0,2,male,29.0,1,0,27.72,C,Second,man,True,Unknown,Cherbourg,no,False
0,3,female,45.0,0,1,14.45,C,Third,woman,False,Unknown,Cherbourg,no,False
0,3,male,35.0,0,0,7.05,S,Third,man,True,Unknown,Southampton,no,True
0,3,male,30.0,0,0,7.25,S,Third,man,True,Unknown,Southampton,no,True
